date,expression,meaning,explanation,example,example_translation,tip,CEFR_level,topic
2026-08-21,"Τον κατάλογο, παρακαλώ","The menu, please",Asking the waiter for the menu.,"Μπορούμε να έχουμε τον κατάλογο, παρακαλώ;","Can we have the menu, please?",Κατάλογος' literally means list or catalog.,A1,Food and Eating
2026-08-21,Αντιμέτωπος με τη δικαιοσύνη,Facing justice,Used when a suspect is arrested and is about to be tried in court.,Ο δράστης συνελήφθη και πλέον είναι αντιμέτωπος με τη δικαιοσύνη.,The perpetrator was arrested and is now facing justice.,Standard phrasing for the conclusion of a police manhunt in the news.,B2,The News
2026-08-21,Σπάσιμο του τέταρτου τοίχου,Breaking the fourth wall,When a character directly addresses the audience.,Το σπάσιμο του τέταρτου τοίχου έκανε την κωμωδία πιο άμεση.,Breaking the fourth wall made the comedy more direct.,A theatrical term adapted for cinema.,C1,Movies and Cinema
2026-08-22,Χορτάσατε;,Are you full?,A host asking if the guests had enough to eat.,"Λοιπόν παιδιά, χορτάσατε ή να φέρω κι άλλο;","So guys, are you full or should I bring more?",Greek hosts always want to make sure you ate enough.,A2,Food and Eating
2026-08-22,Ο σύλλογος γονέων και κηδεμόνων οργανώνει σχολική γιορτή.,The parents' and guardians' association (PTA) is organizing a school festival.,The PTA in Greece is very active in organizing events and funding school needs.,Ο σύλλογος γονέων και κηδεμόνων οργανώνει σχολική γιορτή για τα Χριστούγεννα.,The PTA is organizing a school festival for Christmas.,,B2,School and Education
2026-08-22,Ούτε κατά διάνοια,Not by any stretch of the imagination / No way,"A strong, slightly formal way to completely reject an idea.",Θα του ζητήσεις συγγνώμη; - Ούτε κατά διάνοια!,Will you apologize to him? - No way!,Very emphatic disagreement.,C1,Yes and no
2026-08-23,Με απ' όλα,With everything,Ordering a pita wrap with all standard ingredients.,Θέλω μία πίτα γύρο χοιρινό με απ' όλα.,I want a pork gyro pita with everything.,"Everything' usually means tomato, onion, fries, and tzatziki.",A2,Food and Eating
2026-08-23,Η παραλία έχει ψιλή άμμο και γαλαζοπράσινα νερά.,The beach has fine sand and turquoise waters.,The ideal description of a beautiful Greek beach.,Πήγαμε στο Ιόνιο και η παραλία έχει ψιλή άμμο και γαλαζοπράσινα νερά.,We went to the Ionian Sea and the beach has fine sand and turquoise waters.,,B1,Summer and Beach
2026-08-23,"Το φεγγάρι, διάδημα στης νύχτας το μέτωπο.","The moon, a diadem on the forehead of the night.","A beautiful, evocative image from the poet Odysseas Elytis. It portrays the moon not just as a light in the sky, but as a royal, precious jewel that adorns and crowns the night itself. ","Η πανσέληνος ήταν μαγευτική, σαν το φεγγάρι, διάδημα στης νύχτας το μέτωπο.","The full moon was magical, like the moon, a diadem on the forehead of the night.",Ideal for a very romantic or literary description of a clear night with a prominent moon.,C1,Poetry
2026-08-24,"Μπορώ να βγω έξω να πιώ νερό, κύριε;","Can I go out to drink water, sir?",A very common request from students during a lesson.,"Συγγνώμη που διακόπτω, μπορώ να βγω έξω να πιώ νερό, κύριε;","Sorry to interrupt, can I go out to drink water, sir?",,A1,School and Education
2026-08-24,Είναι για εμετό,It's vomit-inducing / It's disgusting,"Literally 'it is for vomit'. A strong, colloquial way to express disgust.",Η συμπεριφορά του χθες ήταν για εμετό.,His behavior yesterday was disgusting.,Informal and harsh; avoid in professional contexts.,B1,Yes and no
2026-08-24,Καταστατικό εταιρείας,Articles of association / Company statute,A document that specifies the regulations for a company's operations and defines its purpose.,Οποιαδήποτε αλλαγή στην έδρα της εταιρείας απαιτεί τροποποίηση του καταστατικού.,Any change in the company's headquarters requires an amendment to the articles of association.,,C1,Business and Tax
2026-08-25,Φόρεσε τα μπρατσάκια σου πριν μπεις στη θάλασσα.,Put on your armbands before you go into the sea.,Safety instruction for toddlers and young kids.,"Μην τρέχεις στο νερό, φόρεσε τα μπρατσάκια σου πριν μπεις στη θάλασσα.","Don't run into the water, put on your armbands before you go into the sea.",,A2,Summer and Beach
2026-08-25,Από ποια πύλη φεύγει το πλοίο για την Πάρο;,Which gate does the ferry to Paros leave from?,"A fundamental question when at a large port like Piraeus, which has many different gates (πύλες) for different destinations.","Συγγνώμη, κοιτάζω το εισιτήριό μου αλλά δεν το γράφει. Από ποια πύλη φεύγει το πλοίο για την Πάρο;","Excuse me, I'm looking at my ticket but it doesn't say. Which gate does the ferry to Paros leave from?","In Greek ports, 'gate' (πύλη) refers to a specific pier or dock area.",B1,Sea Travel
2026-08-25,Υποβάλλω φορολογική δήλωση,To file a tax return,The official process of declaring income and expenses to the tax authorities.,Η προθεσμία για να υποβάλουμε τη φορολογική δήλωση παρατάθηκε μέχρι τέλος του μήνα.,The deadline to file the tax return has been extended until the end of the month.,,C1,Business and Tax
2026-08-26,Μία μερίδα πατάτες,A portion of fries,Ordering a side dish.,Θα πάρουμε και μία μερίδα πατάτες στη μέση.,We will also get a portion of fries in the middle.,Στη μέση' means to share.,A1,Food and Eating
2026-08-26,Ποια έξοδο πρέπει να πάρω για το μουσείο της Ακρόπολης;,Which exit should I take for the Acropolis Museum?,"Metro stations in Athens have multiple exits, so this is a very useful question.",Μόλις έφτασα στον σταθμό 'Ακρόπολη'. Ποια έξοδο πρέπει να πάρω για να βγω ακριβώς στο μουσείο;,I just arrived at 'Acropoli' station. Which exit should I take to get out right at the museum?,,B2,City Transport
2026-08-26,Ζώνη αστεροειδών,Asteroid belt,A region of space between the orbits of Mars and Jupiter where most of the asteroids in our Solar System are found.,Το σκάφος πέρασε με ασφάλεια μέσα από τη ζώνη αστεροειδών.,The craft passed safely through the asteroid belt.,,C1,Space and Astronomy
2026-08-27,Ξέχασα την κασετίνα μου στο σπίτι.,I forgot my pencil case at home.,A typical excuse or problem a student might have in class.,"Κυρία, ξέχασα την κασετίνα μου στο σπίτι, μπορώ να δανειστώ ένα μολύβι;","Miss, I forgot my pencil case at home, can I borrow a pencil?",,A1,School and Education
2026-08-27,Ακούγεστε καθαρός στην ακρόαση,You sound clear upon auscultation (listening to the chest),"The doctor says this after listening to your lungs with a stethoscope, meaning there is no fluid or congestion.","Πάρτε μια βαθιά ανάσα... Ωραία, ακούγεστε καθαρός στην ακρόαση.","Take a deep breath... Great, you sound clear upon auscultation.",A reassuring phrase to hear when you have a bad cough.,B2,Seeing the Doctor
2026-08-27,Έστησ' ο Έρωτας χορό με τον ξανθόν Απρίλη.,Love has set up a dance with blond April.,"From the 'Free Besieged' by Dionysios Solomos, this line personifies Love and April, depicting the arrival of spring as a joyful, energetic dance between these two forces, full of life and color. ","Με τα πρώτα λουλούδια, νιώθεις πως έστησ' ο Έρωτας χορό με τον ξανθόν Απρίλη.","With the first flowers, you feel that Love has set up a dance with blond April.",A classic and highly poetic way to announce the arrival of spring and the feelings of love and renewal it brings.,C2,Poetry
